Name,"On Hand",Available,Reserved,SKU,Bin,Warehouse,Backorder,"Sell Ahead","On Order","Pending Return"
"easiPart HD XL 12"" | Synthetic Hair Topper (Mono Top) 24B613S12",3,3,0,JR359_13,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD XL 12"" | Synthetic Hair Topper (Mono Top) FS2V/31V",3,3,0,JR359_32,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) 1B",3,3,0,JR360_07,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) 24B18S8",3,3,0,JR360_11,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) 6",3,2,0,JR360_19,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) 6F27",3,3,0,JR360_22,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) 8",3,3,0,JR360_23,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) FS4/33/30A",3,3,0,JR360_29,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiCrown HD 12"" | HF Synthetic Hair Topper (Hand-Tied) 60",3,3,0,JR380_21,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Hat Magic LF | Synthetic Hair Addition (Hat not included) 10",3,3,0,JR384A_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Hat Magic LF | Synthetic Hair Addition (Hat not included) 24BT18",3,3,0,JR384A_11,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Hat Magic LF | Synthetic Hair Addition (Hat not included) 4",3,3,0,JR384A_15,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Jessica | Synthetic Wig (Basic Cap) 32BF",3,3,0,JR5127_16,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Zara | Synthetic Lace Front Wig (Mono Top) 12FS12",3,3,0,JR5133_04,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Zara | Synthetic Lace Front Wig (Mono Top) 14/26",3,3,0,JR5133_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Zara | Synthetic Lace Front Wig (Mono Top) 22F16S8",3,3,0,JR5133_12,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Annette | Synthetic Lace Front Wig (Mono Top) 60",3,3,0,JR5138_28,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Heidi | Synthetic Lace Front Wig (Mono Top) 8RH14",3,3,0,JR5139_28,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Ignite | Synthetic Lace Front Wig (Basic Cap) 14/26",3,3,0,JR5142_06,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"Ignite | Synthetic Lace Front Wig (Basic Cap) 22F16",3,3,0,JR5142_10,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Ignite | Synthetic Lace Front Wig (Basic Cap) 6F27",3,3,0,JR5142_26,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Natalie Petite | Synthetic Wig  (Basic Cap) 30A27S4",3,3,0,JR5149_17,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Kris | Synthetic Wig (Basic Cap) 101F48T",3,3,0,JR5154_02,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Level | Synthetic Lace Front Hair Topper (Mono Top) 12FS8",3,3,0,JR5156_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Level | Synthetic Lace Front Hair Topper (Mono Top) 6",3,3,0,JR5156_15,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
